rank,division,division_rank,endpoint_id,endpoint_label,tier,questions_scored,operational_goodput,quality_score,quality_ci95_low,quality_ci95_high,availability,successful_answers,failed_answers,latency_p50_ms,latency_p95_ms,cost_usd,cost_is_lower_bound,data_analysis_score,instruction_following_score,language_score,math_score,reasoning_score
12,Fixed managed text endpoints,11,kc-kimi-k2.5,Kimi K2.5,1,15,0.4466666666666666,0.4466666666666666,0.24216666666666675,0.6577777777777779,1.0,15,0,10553.672607421875,29239.753812131094,0.056032270,False,0.2333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
13,Fixed managed text endpoints,12,kc-llama-4-scout,Llama 4 Scout,2,15,0.4464444444444445,0.4464444444444445,0.27377777777777784,0.6325611111111107,1.0,15,0,5384.480099892244,8828.372509765624,0.016203620,False,0.17666666666666667,0.5555555555555555,0.5833333333333334,0.6666666666666666,0.25
14,Fixed managed text endpoints,13,kc-openai-gpt-5-5-pro,gpt-5.5-pro,2,15,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.6888888888888888,0.5333333333333333,8,7,40852.96435546875,63803.44280056226,1.48549170,True,0.0,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.3333333333333333
15,Fixed managed text endpoints,14,kc-llama-4-maverick,Llama 4 Maverick,2,15,0.421,0.421,0.25833055555555556,0.5970027777777774,1.0,15,0,4538.531005859375,9335.974121093746,0.022025230,False,0.39666666666666667,0.5,0.6666666666666666,0.3333333333333333,0.20833333333333334
16,Fixed managed text endpoints,15,kc-bedrock-google-gemma-3-12b-it,Gemma 3 12B IT,2,15,0.41388888888888886,0.41388888888888886,0.20833333333333334,0.6388888888888888,0.9333333333333333,14,1,4767.8583984375,16488.51199059542,0.004541500,True,0.0,0.7777777777777777,0.5,0.6666666666666666,0.125
17,Fixed managed text endpoints,16,kc-nova-2-lite,Amazon Nova 2 Lite,2,15,0.4046666666666667,0.4046666666666667,0.188,0.6333333333333333,1.0,15,0,5094.398999819532,11201.648320048116,0.051883780,False,0.18999999999999997,1.0,0.08333333333333333,0.6666666666666666,0.08333333333333333
18,Fixed managed text endpoints,17,kc-gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,2,15,0.3977777777777778,0.3977777777777778,0.15555555555555556,0.6400000000000001,0.9333333333333333,14,1,15735.1116000209,23187.68020019531,0.34899548,True,0.9333333333333332,0.05555555555555555,0.3333333333333333,0.3333333333333333,0.3333333333333333
19,Managed research systems,2,kc-bedrock-deepseek-r1-v1-0,DeepSeek-R1,2,15,0.38222222222222224,0.38222222222222224,0.16,0.6222222222222221,0.6,9,6,9812.93798828125,12262.816856598107,0.072626820,True,0.13333333333333333,0.7777777777777777,0.6666666666666666,0.3333333333333333,0.0
20,Fixed managed text endpoints,18,kc-bedrock-google-gemma-3-27b-it,Gemma 3 27B PT,2,15,0.3694444444444444,0.3694444444444444,0.19444444444444448,0.5583333333333333,0.9333333333333333,14,1,5518.697299994528,21812.755255863813,0.005844230,True,0.08333333333333333,0.5555555555555555,0.6666666666666666,0.3333333333333333,0.20833333333333334
21,Fixed managed text endpoints,19,kc-glm-5,GLM 5,2,15,0.36844444444444446,0.36844444444444446,0.186,0.5602222222222222,1.0,15,0,10988.723399816081,63619.16217004394,0.063582600,False,0.2866666666666666,0.5555555555555555,0.6666666666666666,0.3333333333333333,0.0
22,Routed systems,1,kendr-flash,Kendr Flash,2,15,0.3555555555555555,0.3555555555555555,0.13333333333333333,0.6,0.4666666666666667,7,8,11603.460205078125,37172.35593261719,0.011976080,True,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.0
23,Fixed managed text endpoints,20,kc-ollama-gpt-oss-120b,gpt-oss:120b,2,15,0.3535555555555555,0.3535555555555555,0.1471111111111111,0.5777777777777778,0.5333333333333333,8,7,11365.721700014547,23356.9501953125,0.005205640,True,0.3233333333333333,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.0
24,Routed systems,2,kendr-intelligent,Kendr Intelligent Auto,2,15,0.33888888888888885,0.3722222222222222,0.17222222222222222,0.5888888888888888,0.8666666666666667,13,2,9117.178300162777,24249.369824218746,0.018194850,True,0.0,0.7777777777777777,0.6666666666666666,0.3333333333333333,0.08333333333333333
25,Routed systems,3,kendr-research,Kendr Research Auto,2,15,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.4666666666666667,0.3333333333333333,5,10,19494.450799888,414410.25864257687,0.010291150,True,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
26,Fixed managed text endpoints,21,kc-gemini-3.5-flash,Gemini 3.5 Flash,2,15,0.2644444444444444,0.2644444444444444,0.06666666666666667,0.48888888888888893,0.9333333333333333,14,1,9093.033203125,22945.676074218707,0.252641450,True,0.26666666666666666,0.05555555555555555,0.3333333333333333,0.6666666666666666,0.0
27,Fixed managed text endpoints,22,kc-ollama-deepseek-v4-flash-0731,deepseek-v4-flash:0731,2,15,0.2,0.2,0.0,0.4,0.2,3,12,9257.06520001404,15977.244855519755,0.000791580,True,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
28,Fixed managed text endpoints,23,kc-deepseek-v4-flash,DeepSeek V4 Flash,3,15,0.07777777777777778,0.07777777777777778,0.0,0.2222222222222222,0.13333333333333333,2,13,8804.760986328125,23476.293790378237,0.001300430,True,0.0,0.3888888888888889,0.0,0.0,0.0
29,Managed research systems,3,kc-openai-o3-deep-research,o3-deep-research,3,15,0.0,0.0,0.0,0.0,0.0,0,15,1005.406005859375,2181.757153320312,,True,0.0,0.0,0.0,0.0,0.0
30,Managed research systems,4,kc-google-deep-research-preview-04-2026,Deep Research Preview (Apr-21-2026),3,15,0.0,0.0,0.0,0.0,0.0,0,15,1007.338134765625,2058.1812790978693,,True,0.0,0.0,0.0,0.0,0.0
31,Managed research systems,5,kc-google-deep-research-max-preview-04-2026,Deep Research Max Preview (Apr-21-2026),3,15,0.0,0.0,0.0,0.0,0.0,0,15,1036.4073000382632,1948.861847334355,,True,0.0,0.0,0.0,0.0,0.0
32,Fixed managed text endpoints,24,kc-bedrock-anthropic-claude-fable-5,Claude Fable 5,3,15,0.0,0.0,0.0,0.0,0.0,0,15,1228.5718000493944,2661.2498103890557,,True,0.0,0.0,0.0,0.0,0.0
33,Managed research systems,6,kc-bedrock-writer-palmyra-x4-v1-0,Palmyra X4,3,15,0.0,0.0,0.0,0.0,0.0,0,15,1240.696300053969,2200.2041259765615,,True,0.0,0.0,0.0,0.0,0.0
34,Fixed managed text endpoints,25,kc-bedrock-meta-llama4-maverick-17b-instruct-v1-0,Llama 4 Maverick 17B Instruct,3,15,0.0,0.0,0.0,0.0,0.0,0,15,1246.046142578125,3408.1632200628505,,True,0.0,0.0,0.0,0.0,0.0
35,Fixed managed text endpoints,26,kc-bedrock-anthropic-claude-opus-5,Claude Opus 5,3,15,0.0,0.0,0.0,0.0,0.0,0,15,1301.2579001951963,2478.689331054686,,True,0.0,0.0,0.0,0.0,0.0
